GpsTm=789200724,Flag=4,Longi=114.072803,Lati=22.755983,Speed=582(0.1km/h),Yaw=115(deg)
AcceSpeed(X/Y/Z)=2/-8/99 (0.01g), AngSpeed(X/Y/Z)=-38/-267/-1 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-13/95 (0.01g), AngSpeed(X/Y/Z)=406/-258/-32 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-7/97 (0.01g), AngSpeed(X/Y/Z)=406/-258/-32 (0.01deg/s)
AcceSpeed(X/Y/Z)=-4/-18/113 (0.01g), AngSpeed(X/Y/Z)=406/-258/-32 (0.01deg/s)
AcceSpeed(X/Y/Z)=12/-14/91 (0.01g), AngSpeed(X/Y/Z)=406/-258/-32 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-16/101 (0.01g), AngSpeed(X/Y/Z)=306/-263/-33 (0.01deg/s)
AcceSpeed(X/Y/Z)=14/-15/99 (0.01g), AngSpeed(X/Y/Z)=306/-263/-33 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-16/100 (0.01g), AngSpeed(X/Y/Z)=306/-263/-33 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-16/101 (0.01g), AngSpeed(X/Y/Z)=306/-263/-33 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-21/103 (0.01g), AngSpeed(X/Y/Z)=318/-212/-116 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/91 (0.01g), AngSpeed(X/Y/Z)=318/-212/-116 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-14/97 (0.01g), AngSpeed(X/Y/Z)=318/-212/-116 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-20/100 (0.01g), AngSpeed(X/Y/Z)=291/-203/-120 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/96 (0.01g), AngSpeed(X/Y/Z)=291/-203/-120 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/106 (0.01g), AngSpeed(X/Y/Z)=291/-203/-120 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-18/95 (0.01g), AngSpeed(X/Y/Z)=291/-203/-120 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-16/96 (0.01g), AngSpeed(X/Y/Z)=291/-203/-120 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-16/100 (0.01g), AngSpeed(X/Y/Z)=291/-203/-120 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-21/97 (0.01g), AngSpeed(X/Y/Z)=291/-203/-120 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-18/101 (0.01g), AngSpeed(X/Y/Z)=246/-179/-130 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-16/104 (0.01g), AngSpeed(X/Y/Z)=246/-179/-130 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-15/99 (0.01g), AngSpeed(X/Y/Z)=246/-179/-130 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-18/96 (0.01g), AngSpeed(X/Y/Z)=246/-179/-130 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-17/102 (0.01g), AngSpeed(X/Y/Z)=246/-179/-130 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-13/97 (0.01g), AngSpeed(X/Y/Z)=246/-179/-130 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-14/101 (0.01g), AngSpeed(X/Y/Z)=218/-178/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/103 (0.01g), AngSpeed(X/Y/Z)=218/-178/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-18/93 (0.01g), AngSpeed(X/Y/Z)=218/-178/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-19/103 (0.01g), AngSpeed(X/Y/Z)=218/-178/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-16/104 (0.01g), AngSpeed(X/Y/Z)=218/-178/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-13/95 (0.01g), AngSpeed(X/Y/Z)=218/-178/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-15/96 (0.01g), AngSpeed(X/Y/Z)=218/-178/-168 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-17/108 (0.01g), AngSpeed(X/Y/Z)=227/-178/-168 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-16/98 (0.01g), AngSpeed(X/Y/Z)=227/-178/-168 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-16/97 (0.01g), AngSpeed(X/Y/Z)=227/-178/-168 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/101 (0.01g), AngSpeed(X/Y/Z)=227/-178/-168 (0.01deg/s)
AcceSpeed(X/Y/Z)=-3/-20/98 (0.01g), AngSpeed(X/Y/Z)=227/-178/-168 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-18/105 (0.01g), AngSpeed(X/Y/Z)=227/-178/-168 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-15/107 (0.01g), AngSpeed(X/Y/Z)=256/-201/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=-3/-16/100 (0.01g), AngSpeed(X/Y/Z)=256/-201/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-13/99 (0.01g), AngSpeed(X/Y/Z)=256/-201/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-19/98 (0.01g), AngSpeed(X/Y/Z)=256/-201/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=-4/-14/95 (0.01g), AngSpeed(X/Y/Z)=256/-201/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-15/99 (0.01g), AngSpeed(X/Y/Z)=256/-201/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-16/96 (0.01g), AngSpeed(X/Y/Z)=250/-190/-177 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-15/102 (0.01g), AngSpeed(X/Y/Z)=250/-190/-177 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-21/97 (0.01g), AngSpeed(X/Y/Z)=250/-190/-177 (0.01deg/s)
AcceSpeed(X/Y/Z)=-3/-19/102 (0.01g), AngSpeed(X/Y/Z)=250/-190/-177 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-14/102 (0.01g), AngSpeed(X/Y/Z)=250/-190/-177 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-16/92 (0.01g), AngSpeed(X/Y/Z)=250/-190/-177 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-15/99 (0.01g), AngSpeed(X/Y/Z)=250/-190/-177 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-18/108 (0.01g), AngSpeed(X/Y/Z)=200/-201/-164 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-17/99 (0.01g), AngSpeed(X/Y/Z)=200/-201/-164 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-14/96 (0.01g), AngSpeed(X/Y/Z)=200/-201/-164 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-16/97 (0.01g), AngSpeed(X/Y/Z)=200/-201/-164 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-17/100 (0.01g), AngSpeed(X/Y/Z)=200/-201/-164 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-16/103 (0.01g), AngSpeed(X/Y/Z)=200/-201/-164 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-15/97 (0.01g), AngSpeed(X/Y/Z)=210/-191/-158 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-13/98 (0.01g), AngSpeed(X/Y/Z)=210/-191/-158 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-10/98 (0.01g), AngSpeed(X/Y/Z)=210/-191/-158 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-21/100 (0.01g), AngSpeed(X/Y/Z)=210/-191/-158 (0.01deg/s)
AcceSpeed(X/Y/Z)=-3/-17/102 (0.01g), AngSpeed(X/Y/Z)=210/-191/-158 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-20/102 (0.01g), AngSpeed(X/Y/Z)=210/-191/-158 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-16/100 (0.01g), AngSpeed(X/Y/Z)=242/-185/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-14/99 (0.01g), AngSpeed(X/Y/Z)=242/-185/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-19/103 (0.01g), AngSpeed(X/Y/Z)=242/-185/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-16/105 (0.01g), AngSpeed(X/Y/Z)=242/-185/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/101 (0.01g), AngSpeed(X/Y/Z)=242/-185/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-13/95 (0.01g), AngSpeed(X/Y/Z)=242/-185/-160 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-18/99 (0.01g), AngSpeed(X/Y/Z)=220/-165/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-17/104 (0.01g), AngSpeed(X/Y/Z)=220/-165/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/100 (0.01g), AngSpeed(X/Y/Z)=220/-165/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-17/98 (0.01g), AngSpeed(X/Y/Z)=220/-165/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-16/101 (0.01g), AngSpeed(X/Y/Z)=220/-165/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-16/102 (0.01g), AngSpeed(X/Y/Z)=220/-165/-152 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-14/102 (0.01g), AngSpeed(X/Y/Z)=171/-158/-148 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/101 (0.01g), AngSpeed(X/Y/Z)=171/-158/-148 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-16/106 (0.01g), AngSpeed(X/Y/Z)=171/-158/-148 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-12/94 (0.01g), AngSpeed(X/Y/Z)=171/-158/-148 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-13/100 (0.01g), AngSpeed(X/Y/Z)=171/-158/-148 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-17/99 (0.01g), AngSpeed(X/Y/Z)=171/-158/-148 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-13/102 (0.01g), AngSpeed(X/Y/Z)=178/-147/-144 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-17/98 (0.01g), AngSpeed(X/Y/Z)=178/-147/-144 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-21/101 (0.01g), AngSpeed(X/Y/Z)=178/-147/-144 (0.01deg/s)
AcceSpeed(X/Y/Z)=-3/-17/103 (0.01g), AngSpeed(X/Y/Z)=178/-147/-144 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-16/99 (0.01g), AngSpeed(X/Y/Z)=178/-147/-144 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/102 (0.01g), AngSpeed(X/Y/Z)=178/-147/-144 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-18/107 (0.01g), AngSpeed(X/Y/Z)=178/-147/-144 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-16/96 (0.01g), AngSpeed(X/Y/Z)=232/-185/-147 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-15/96 (0.01g), AngSpeed(X/Y/Z)=232/-185/-147 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-17/101 (0.01g), AngSpeed(X/Y/Z)=232/-185/-147 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-15/94 (0.01g), AngSpeed(X/Y/Z)=232/-185/-147 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-17/96 (0.01g), AngSpeed(X/Y/Z)=232/-185/-147 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-19/105 (0.01g), AngSpeed(X/Y/Z)=232/-185/-147 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-14/97 (0.01g), AngSpeed(X/Y/Z)=262/-196/-136 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-14/98 (0.01g), AngSpeed(X/Y/Z)=262/-196/-136 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-15/104 (0.01g), AngSpeed(X/Y/Z)=262/-196/-136 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-20/99 (0.01g), AngSpeed(X/Y/Z)=262/-196/-136 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-13/93 (0.01g), AngSpeed(X/Y/Z)=262/-196/-136 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-15/108 (0.01g), AngSpeed(X/Y/Z)=262/-196/-136 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-16/93 (0.01g), AngSpeed(X/Y/Z)=255/-224/-123 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-11/85 (0.01g), AngSpeed(X/Y/Z)=255/-224/-123 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-20/118 (0.01g), AngSpeed(X/Y/Z)=255/-224/-123 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/105 (0.01g), AngSpeed(X/Y/Z)=255/-224/-123 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-13/93 (0.01g), AngSpeed(X/Y/Z)=255/-224/-123 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-12/107 (0.01g), AngSpeed(X/Y/Z)=255/-224/-123 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-19/102 (0.01g), AngSpeed(X/Y/Z)=255/-224/-123 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-16/92 (0.01g), AngSpeed(X/Y/Z)=239/-254/-119 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/110 (0.01g), AngSpeed(X/Y/Z)=239/-254/-119 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-15/102 (0.01g), AngSpeed(X/Y/Z)=239/-254/-119 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-14/97 (0.01g), AngSpeed(X/Y/Z)=239/-254/-119 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-18/100 (0.01g), AngSpeed(X/Y/Z)=239/-254/-119 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-18/110 (0.01g), AngSpeed(X/Y/Z)=239/-254/-119 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-16/101 (0.01g), AngSpeed(X/Y/Z)=178/-258/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-17/104 (0.01g), AngSpeed(X/Y/Z)=178/-258/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-12/106 (0.01g), AngSpeed(X/Y/Z)=178/-258/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-13/91 (0.01g), AngSpeed(X/Y/Z)=178/-258/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-14/101 (0.01g), AngSpeed(X/Y/Z)=178/-258/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-19/110 (0.01g), AngSpeed(X/Y/Z)=178/-258/-114 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-10/88 (0.01g), AngSpeed(X/Y/Z)=127/-229/-103 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-19/103 (0.01g), AngSpeed(X/Y/Z)=127/-229/-103 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-14/100 (0.01g), AngSpeed(X/Y/Z)=127/-229/-103 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/103 (0.01g), AngSpeed(X/Y/Z)=127/-229/-103 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-12/105 (0.01g), AngSpeed(X/Y/Z)=127/-229/-103 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-18/100 (0.01g), AngSpeed(X/Y/Z)=127/-229/-103 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-13/103 (0.01g), AngSpeed(X/Y/Z)=127/-229/-103 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-16/98 (0.01g), AngSpeed(X/Y/Z)=182/-202/-98 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/0/0 (0.01g), AngSpeed(X/Y/Z)=182/-202/-98 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-13/103 (0.01g), AngSpeed(X/Y/Z)=182/-202/-98 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-16/99 (0.01g), AngSpeed(X/Y/Z)=182/-202/-98 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-15/104 (0.01g), AngSpeed(X/Y/Z)=182/-202/-98 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-16/97 (0.01g), AngSpeed(X/Y/Z)=182/-202/-98 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/100 (0.01g), AngSpeed(X/Y/Z)=293/-177/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/104 (0.01g), AngSpeed(X/Y/Z)=293/-177/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-12/93 (0.01g), AngSpeed(X/Y/Z)=293/-177/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-17/106 (0.01g), AngSpeed(X/Y/Z)=293/-177/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/99 (0.01g), AngSpeed(X/Y/Z)=293/-177/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/92 (0.01g), AngSpeed(X/Y/Z)=293/-177/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-11/104 (0.01g), AngSpeed(X/Y/Z)=293/-177/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-18/101 (0.01g), AngSpeed(X/Y/Z)=266/-215/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-21/95 (0.01g), AngSpeed(X/Y/Z)=266/-215/-102 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-21/97 (0.01g), AngSpeed(X/Y/Z)=238/-182/-96 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-19/104 (0.01g), AngSpeed(X/Y/Z)=238/-182/-96 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-21/101 (0.01g), AngSpeed(X/Y/Z)=238/-182/-96 (0.01deg/s)
AcceSpeed(X/Y/Z)=-7/-22/107 (0.01g), AngSpeed(X/Y/Z)=238/-182/-96 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-17/98 (0.01g), AngSpeed(X/Y/Z)=238/-182/-96 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-20/100 (0.01g), AngSpeed(X/Y/Z)=238/-182/-96 (0.01deg/s)
AcceSpeed(X/Y/Z)=-3/-19/106 (0.01g), AngSpeed(X/Y/Z)=238/-182/-96 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-23/98 (0.01g), AngSpeed(X/Y/Z)=112/-201/-106 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-19/93 (0.01g), AngSpeed(X/Y/Z)=53/-149/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-23/104 (0.01g), AngSpeed(X/Y/Z)=53/-149/-183 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-26/99 (0.01g), AngSpeed(X/Y/Z)=122/-180/-185 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-16/96 (0.01g), AngSpeed(X/Y/Z)=122/-180/-185 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-22/83 (0.01g), AngSpeed(X/Y/Z)=122/-180/-185 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-21/80 (0.01g), AngSpeed(X/Y/Z)=122/-180/-185 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-22/119 (0.01g), AngSpeed(X/Y/Z)=122/-180/-185 (0.01deg/s)
AcceSpeed(X/Y/Z)=-7/-28/111 (0.01g), AngSpeed(X/Y/Z)=122/-180/-185 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-22/81 (0.01g), AngSpeed(X/Y/Z)=307/-171/-178 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/96 (0.01g), AngSpeed(X/Y/Z)=307/-171/-178 (0.01deg/s)
AcceSpeed(X/Y/Z)=-9/-23/104 (0.01g), AngSpeed(X/Y/Z)=307/-171/-178 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-18/99 (0.01g), AngSpeed(X/Y/Z)=307/-171/-178 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-23/96 (0.01g), AngSpeed(X/Y/Z)=307/-171/-178 (0.01deg/s)
AcceSpeed(X/Y/Z)=-1/-23/94 (0.01g), AngSpeed(X/Y/Z)=307/-171/-178 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-24/100 (0.01g), AngSpeed(X/Y/Z)=380/-222/-189 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-14/93 (0.01g), AngSpeed(X/Y/Z)=380/-222/-189 (0.01deg/s)
AcceSpeed(X/Y/Z)=-11/-22/100 (0.01g), AngSpeed(X/Y/Z)=380/-222/-189 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-25/87 (0.01g), AngSpeed(X/Y/Z)=380/-222/-189 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-16/109 (0.01g), AngSpeed(X/Y/Z)=380/-222/-189 (0.01deg/s)
AcceSpeed(X/Y/Z)=-5/-23/103 (0.01g), AngSpeed(X/Y/Z)=380/-222/-189 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-22/88 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-18/99 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=-12/-23/96 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-18/100 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-17/91 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=-4/-16/103 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-15/97 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-18/93 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-16/99 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-17/106 (0.01g), AngSpeed(X/Y/Z)=292/-232/-196 (0.01deg/s)
AcceSpeed(X/Y/Z)=-2/-16/95 (0.01g), AngSpeed(X/Y/Z)=939/-539/-546 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-15/101 (0.01g), AngSpeed(X/Y/Z)=939/-539/-546 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-17/102 (0.01g), AngSpeed(X/Y/Z)=939/-539/-546 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-22/106 (0.01g), AngSpeed(X/Y/Z)=939/-539/-546 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-20/104 (0.01g), AngSpeed(X/Y/Z)=939/-539/-546 (0.01deg/s)
